,Body_Type,Diet,Gender,Social_Activity,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Waste_Bag_Size,Frequency_Travelling_Air,New_Clothes_Monthly,Waste_Bag_Weekly,Monthly_Grocery_Bill,Daily_TV_PC_Hour,Vehicle_Monthly_Distance,Energy_Efficiency
5302,overweight,pescetarian,female,high,frequently,electricity,private,hybrid,medium,rarely,17.0,2.0,55.0,7.64,442.0,6.32
5303,underweight,vegan,male,high,daily,solar,private,electric,large,frequently,2.0,4.0,597.0,3.96,555.0,9.28
5304,average,vegetarian,male,moderate,frequently,wood,bike,petrol,extra large,frequently,2.0,1.0,517.0,5.83,3970.0,7.8
5305,athletic,vegan,male,high,daily,electricity,public,diesel,large,frequently,1.0,7.0,356.0,6.87,3571.0,3.42
5306,average,pescetarian,other,moderate,twice a day,electricity,walk,hybrid,medium,rarely,3.0,2.0,126.0,6.46,4543.0,8.32
5307,underweight,omnivore,female,moderate,twice a day,wood,private,hybrid,large,never,8.0,5.0,94.0,9.14,1316.0,4.69
5308,athletic,vegan,male,high,rarely,solar,public,diesel,extra large,rarely,14.0,5.0,420.0,11.66,1902.0,2.3
5309,athletic,pescetarian,other,low,rarely,electricity,bike,petrol,small,rarely,17.0,2.0,506.0,1.03,3617.0,3.78
5310,overweight,pescetarian,female,low,frequently,solar,walk,diesel,small,rarely,16.0,3.0,159.0,8.2,3465.0,8.4
5311,athletic,omnivore,male,high,rarely,solar,bike,petrol,medium,frequently,10.0,2.0,397.0,6.28,963.0,4.34
5312,athletic,omnivore,male,moderate,twice a day,gas,public,hybrid,extra large,rarely,0.0,6.0,440.0,4.76,2115.0,4.42
5313,average,pescetarian,female,moderate,twice a day,wood,walk,diesel,extra large,rarely,5.0,7.0,260.0,7.95,1890.0,9.79
5314,underweight,pescetarian,other,moderate,daily,gas,private,hybrid,large,rarely,13.0,4.0,400.0,10.63,354.0,5.65
5315,overweight,vegan,other,high,rarely,electricity,public,hybrid,small,never,4.0,6.0,276.0,7.33,670.0,5.47
5316,average,pescetarian,male,low,daily,gas,bike,electric,medium,frequently,2.0,1.0,398.0,9.85,3318.0,7.57
5317,athletic,pescetarian,female,moderate,twice a day,wood,walk,diesel,medium,rarely,18.0,5.0,96.0,3.54,4460.0,9.66
5318,athletic,vegan,other,moderate,rarely,solar,public,hybrid,medium,rarely,0.0,7.0,541.0,5.25,2755.0,9.9
5319,overweight,vegetarian,female,high,daily,solar,public,petrol,large,never,3.0,7.0,466.0,2.09,962.0,8.02
5320,underweight,vegan,female,low,twice a day,electricity,bike,diesel,extra large,frequently,15.0,2.0,583.0,6.87,2938.0,8.84
5321,overweight,vegan,male,low,daily,wood,bike,petrol,medium,rarely,5.0,1.0,153.0,8.87,3025.0,9.17
5322,average,omnivore,female,high,rarely,solar,private,petrol,large,frequently,4.0,1.0,574.0,6.95,2232.0,7.7
5323,overweight,vegan,female,low,daily,electricity,private,petrol,medium,rarely,6.0,2.0,537.0,10.94,2935.0,6.08
5324,athletic,pescetarian,female,high,daily,wood,public,diesel,large,rarely,9.0,7.0,537.0,10.31,1015.0,3.25
5325,average,pescetarian,other,moderate,twice a day,wood,bike,petrol,small,frequently,0.0,1.0,361.0,5.09,479.0,7.56
5326,athletic,pescetarian,male,high,rarely,gas,public,diesel,large,never,18.0,5.0,126.0,6.87,3858.0,5.52
5327,underweight,vegetarian,male,moderate,frequently,solar,hybrid,electric,extra large,rarely,13.0,2.0,61.0,7.76,304.0,9.25
5328,athletic,pescetarian,female,high,frequently,wood,bike,petrol,small,frequently,3.0,3.0,54.0,9.69,2026.0,1.01
5329,athletic,vegetarian,female,moderate,daily,solar,hybrid,diesel,small,rarely,14.0,2.0,488.0,0.9,3352.0,9.28
5330,overweight,pescetarian,other,moderate,twice a day,solar,hybrid,petrol,medium,rarely,5.0,5.0,548.0,9.69,536.0,9.55
5331,athletic,vegan,male,high,rarely,wood,bike,hybrid,small,never,19.0,2.0,302.0,0.8,3508.0,2.98
5332,average,omnivore,other,moderate,twice a day,solar,private,petrol,large,never,9.0,2.0,576.0,8.63,4770.0,8.91
5333,average,pescetarian,male,low,rarely,gas,public,hybrid,extra large,frequently,14.0,7.0,343.0,5.58,2305.0,6.31
5334,underweight,vegetarian,other,high,twice a day,electricity,walk,hybrid,small,rarely,18.0,2.0,274.0,2.85,295.0,3.64
5335,average,vegetarian,female,low,frequently,electricity,walk,petrol,extra large,rarely,7.0,4.0,147.0,8.48,3687.0,7.08
5336,overweight,omnivore,other,moderate,frequently,wood,bike,petrol,large,frequently,12.0,4.0,104.0,10.44,2312.0,8.18
5337,underweight,pescetarian,female,moderate,frequently,gas,private,hybrid,large,rarely,18.0,5.0,352.0,9.94,2823.0,4.79
5338,average,vegan,male,moderate,twice a day,electricity,private,electric,extra large,rarely,15.0,1.0,319.0,2.33,3011.0,6.59
5339,overweight,pescetarian,male,high,twice a day,gas,private,diesel,large,frequently,17.0,7.0,539.0,7.25,4013.0,2.81
5340,average,pescetarian,female,moderate,daily,wood,walk,petrol,extra large,never,8.0,2.0,212.0,7.96,4942.0,1.29
5341,average,omnivore,male,low,frequently,gas,hybrid,hybrid,medium,rarely,14.0,7.0,208.0,0.63,3171.0,9.42
5342,athletic,pescetarian,other,low,daily,wood,walk,diesel,large,never,7.0,2.0,467.0,3.94,2062.0,2.39
5343,average,vegan,female,high,twice a day,electricity,private,petrol,medium,never,16.0,7.0,312.0,1.25,3419.0,5.62
5344,average,vegetarian,male,low,rarely,electricity,walk,diesel,small,never,3.0,6.0,432.0,5.0,3166.0,1.77
5345,overweight,omnivore,other,high,frequently,electricity,walk,hybrid,small,frequently,8.0,4.0,264.0,8.73,2537.0,8.7
5346,overweight,vegan,other,high,frequently,electricity,public,petrol,medium,frequently,7.0,3.0,575.0,9.66,1363.0,7.94
5347,athletic,vegetarian,male,moderate,frequently,solar,bike,electric,small,frequently,8.0,6.0,166.0,9.16,2768.0,2.74
5348,average,omnivore,male,low,frequently,gas,hybrid,diesel,small,never,3.0,4.0,441.0,3.26,4317.0,8.32
5349,athletic,omnivore,other,low,frequently,gas,public,petrol,small,never,7.0,1.0,473.0,1.78,4164.0,4.07
5350,average,vegetarian,female,low,twice a day,gas,bike,diesel,small,never,16.0,6.0,581.0,10.47,2047.0,8.55
5351,underweight,vegetarian,male,moderate,frequently,wood,private,diesel,large,rarely,5.0,2.0,130.0,8.91,351.0,3.26
5352,underweight,vegan,male,high,frequently,electricity,public,petrol,small,never,9.0,2.0,236.0,9.06,1355.0,5.24
5353,athletic,pescetarian,female,low,daily,electricity,bike,petrol,large,rarely,1.0,7.0,183.0,3.25,758.0,3.35
5354,athletic,pescetarian,female,low,rarely,solar,public,petrol,extra large,never,11.0,5.0,216.0,6.87,344.0,7.03
5355,athletic,pescetarian,male,low,frequently,solar,walk,hybrid,small,rarely,18.0,3.0,186.0,10.77,4302.0,1.49
5356,overweight,pescetarian,female,low,daily,electricity,walk,petrol,extra large,rarely,4.0,5.0,211.0,10.01,3433.0,6.21
5357,overweight,pescetarian,other,moderate,twice a day,gas,public,diesel,medium,frequently,15.0,3.0,264.0,3.21,4200.0,7.64
5358,overweight,vegan,other,high,daily,gas,public,petrol,medium,frequently,4.0,6.0,364.0,11.41,2341.0,2.76
5359,athletic,omnivore,other,low,frequently,electricity,hybrid,hybrid,large,never,0.0,6.0,166.0,4.54,3219.0,3.13
5360,average,vegan,male,low,daily,wood,private,hybrid,medium,frequently,9.0,3.0,574.0,6.87,1321.0,7.53
5361,underweight,vegan,female,high,daily,gas,walk,petrol,large,rarely,1.0,6.0,367.0,8.78,1473.0,4.74
5362,athletic,vegan,other,moderate,twice a day,electricity,public,diesel,extra large,frequently,15.0,3.0,120.0,3.01,3984.0,6.61
5363,overweight,omnivore,female,moderate,daily,electricity,bike,hybrid,extra large,frequently,8.0,3.0,290.0,4.72,1291.0,4.84
5364,overweight,vegan,other,moderate,twice a day,solar,private,diesel,small,rarely,6.0,5.0,412.0,11.15,769.0,4.77
5365,athletic,vegan,female,moderate,twice a day,solar,bike,electric,extra large,never,12.0,2.0,71.0,0.91,3246.0,3.7
5366,athletic,omnivore,other,low,daily,electricity,private,hybrid,medium,never,3.0,2.0,87.0,0.25,998.0,6.27
5367,overweight,vegan,other,high,frequently,wood,bike,electric,large,rarely,6.0,6.0,287.0,11.58,2560.0,6.39
5368,average,pescetarian,other,high,rarely,electricity,walk,hybrid,large,frequently,9.0,7.0,592.0,10.5,147.0,7.77
5369,overweight,vegetarian,other,high,daily,gas,public,diesel,small,never,11.0,5.0,100.0,9.61,4715.0,5.51
5370,overweight,vegan,other,moderate,daily,wood,public,electric,small,rarely,1.0,6.0,436.0,4.0,788.0,6.06
5371,athletic,vegetarian,other,moderate,daily,wood,hybrid,diesel,medium,never,4.0,4.0,69.0,4.52,4072.0,8.63
5372,average,vegan,other,high,rarely,solar,public,hybrid,large,rarely,14.0,7.0,184.0,10.77,866.0,1.36
5373,overweight,vegan,other,low,rarely,electricity,walk,diesel,small,frequently,10.0,6.0,450.0,11.7,4791.0,5.68
5374,overweight,pescetarian,other,moderate,twice a day,solar,private,electric,extra large,never,1.0,1.0,523.0,0.74,3235.0,2.14
5375,underweight,omnivore,female,low,rarely,gas,private,petrol,medium,rarely,14.0,3.0,547.0,5.62,3304.0,7.17
5376,athletic,vegetarian,female,high,rarely,solar,public,petrol,extra large,never,18.0,7.0,166.0,4.81,3860.0,9.05
5377,underweight,omnivore,male,moderate,daily,gas,bike,hybrid,large,frequently,4.0,7.0,574.0,8.84,1321.0,4.82
5378,underweight,pescetarian,other,low,twice a day,electricity,public,petrol,small,never,15.0,7.0,537.0,5.92,2623.0,6.72
5379,overweight,pescetarian,female,moderate,frequently,electricity,private,hybrid,medium,rarely,7.0,5.0,566.0,0.94,3742.0,4.32
5380,athletic,vegetarian,female,high,twice a day,solar,hybrid,diesel,medium,frequently,6.0,3.0,114.0,2.01,189.0,7.8
5381,average,omnivore,female,high,rarely,solar,private,diesel,small,rarely,2.0,3.0,214.0,3.69,4056.0,6.3
5382,overweight,pescetarian,female,high,rarely,solar,bike,electric,small,frequently,7.0,3.0,397.0,9.45,720.0,6.46
5383,average,vegan,female,low,daily,gas,bike,electric,large,never,4.0,5.0,308.0,9.28,3704.0,2.56
5384,average,vegan,female,moderate,frequently,wood,hybrid,petrol,extra large,frequently,13.0,2.0,294.0,9.26,440.0,1.06
5385,athletic,vegan,male,moderate,frequently,wood,bike,diesel,extra large,frequently,1.0,4.0,271.0,9.32,1644.0,6.63
5386,underweight,omnivore,female,moderate,frequently,solar,public,electric,extra large,frequently,9.0,4.0,66.0,5.0,530.0,2.01
5387,athletic,vegan,male,high,rarely,solar,public,petrol,large,frequently,17.0,6.0,377.0,7.38,1548.0,2.2
5388,average,vegan,male,low,rarely,electricity,private,hybrid,small,rarely,16.0,5.0,480.0,1.74,1691.0,2.47
5389,overweight,pescetarian,other,high,twice a day,solar,walk,electric,medium,frequently,5.0,1.0,554.0,2.69,417.0,4.6
5390,average,pescetarian,other,high,rarely,electricity,public,electric,extra large,rarely,16.0,4.0,432.0,3.88,1980.0,3.2
5391,overweight,vegan,other,low,frequently,gas,public,petrol,small,rarely,16.0,4.0,561.0,6.16,3256.0,9.58
5392,overweight,vegan,female,high,frequently,gas,hybrid,electric,extra large,never,18.0,3.0,381.0,2.21,4933.0,7.09
5393,athletic,pescetarian,other,high,frequently,gas,public,petrol,large,never,15.0,5.0,273.0,10.49,3842.0,2.75
5394,average,vegetarian,female,moderate,daily,gas,private,electric,large,frequently,1.0,6.0,188.0,7.46,805.0,8.23
5395,underweight,omnivore,female,low,twice a day,solar,hybrid,diesel,small,frequently,4.0,6.0,322.0,6.44,717.0,3.52
5396,average,omnivore,other,low,twice a day,solar,public,diesel,large,never,11.0,2.0,174.0,0.19,3019.0,8.2
5397,average,pescetarian,other,moderate,rarely,electricity,private,diesel,medium,never,0.0,5.0,328.0,6.75,755.0,5.22
5398,underweight,omnivore,male,low,daily,solar,hybrid,electric,large,rarely,4.0,5.0,82.0,10.99,774.0,5.32
5399,athletic,pescetarian,male,moderate,twice a day,electricity,walk,petrol,medium,frequently,7.0,4.0,263.0,2.69,788.0,4.44
5400,average,pescetarian,female,high,daily,gas,private,diesel,extra large,never,9.0,7.0,350.0,2.65,4783.0,3.22
5401,average,pescetarian,female,low,daily,electricity,public,hybrid,large,never,2.0,7.0,127.0,10.98,634.0,7.18
5402,overweight,pescetarian,other,low,rarely,electricity,hybrid,electric,medium,rarely,5.0,7.0,354.0,9.99,4175.0,5.53
5403,average,vegetarian,other,high,daily,solar,walk,petrol,extra large,rarely,12.0,3.0,155.0,8.17,1225.0,1.08
5404,underweight,vegan,male,high,twice a day,gas,private,electric,extra large,never,19.0,7.0,581.0,8.8,1652.0,3.89
5405,overweight,vegan,other,low,rarely,wood,walk,petrol,extra large,frequently,7.0,5.0,160.0,0.71,1999.0,7.9
5406,athletic,vegetarian,female,low,twice a day,solar,private,petrol,extra large,rarely,17.0,2.0,230.0,9.14,1299.0,3.66
5407,overweight,omnivore,other,low,daily,solar,public,electric,small,rarely,4.0,3.0,414.0,8.94,3987.0,7.17
5408,underweight,omnivore,male,moderate,daily,wood,private,hybrid,medium,frequently,5.0,3.0,214.0,0.6,403.0,2.83
5409,underweight,vegan,female,low,frequently,gas,public,hybrid,small,never,1.0,2.0,533.0,9.48,1794.0,7.81
5410,overweight,omnivore,male,low,rarely,wood,private,electric,extra large,never,6.0,2.0,354.0,7.69,3816.0,4.85
5411,athletic,vegan,male,high,rarely,electricity,hybrid,diesel,large,frequently,15.0,6.0,501.0,6.86,4006.0,1.07
5412,overweight,vegan,female,high,frequently,wood,private,diesel,medium,frequently,9.0,2.0,79.0,6.17,777.0,6.85
5413,athletic,vegetarian,male,moderate,twice a day,gas,private,petrol,medium,rarely,19.0,5.0,134.0,6.16,344.0,6.19
5414,overweight,omnivore,other,high,twice a day,gas,bike,diesel,extra large,never,9.0,6.0,219.0,2.81,4738.0,6.13
5415,underweight,vegetarian,other,low,daily,wood,bike,electric,large,never,1.0,3.0,400.0,0.04,2845.0,9.57
5416,average,vegan,male,low,rarely,solar,private,electric,large,never,7.0,6.0,577.0,11.52,1140.0,4.37
5417,average,vegan,other,moderate,daily,wood,bike,hybrid,medium,frequently,1.0,3.0,120.0,5.54,3875.0,9.1
5418,athletic,vegan,male,high,frequently,electricity,public,diesel,small,frequently,1.0,1.0,292.0,0.52,4464.0,1.02
5419,athletic,pescetarian,other,high,daily,wood,bike,diesel,large,never,12.0,7.0,166.0,3.97,1364.0,9.66
5420,athletic,pescetarian,male,high,twice a day,wood,private,petrol,medium,frequently,3.0,1.0,158.0,4.48,3128.0,5.97
5421,underweight,pescetarian,other,moderate,twice a day,wood,walk,electric,large,frequently,6.0,7.0,549.0,10.45,2322.0,5.59
5422,overweight,vegetarian,female,high,frequently,electricity,walk,electric,extra large,frequently,13.0,1.0,338.0,4.11,669.0,9.02
5423,underweight,vegan,female,high,twice a day,wood,private,electric,large,never,19.0,6.0,78.0,10.55,2699.0,6.73
5424,average,omnivore,other,high,frequently,solar,private,hybrid,small,never,4.0,5.0,163.0,5.31,4721.0,5.69
5425,athletic,vegetarian,male,low,rarely,electricity,walk,hybrid,small,never,0.0,6.0,396.0,2.0,4858.0,4.46
5426,overweight,vegetarian,other,moderate,frequently,solar,hybrid,hybrid,small,rarely,9.0,5.0,243.0,3.43,4010.0,6.93
5427,average,vegetarian,male,low,frequently,electricity,bike,electric,medium,never,18.0,2.0,569.0,10.17,3899.0,1.48
5428,average,omnivore,other,moderate,frequently,gas,hybrid,electric,large,rarely,5.0,5.0,162.0,1.92,754.0,3.23
5429,average,vegan,other,high,twice a day,gas,public,diesel,small,frequently,15.0,3.0,480.0,7.38,4154.0,1.91
5430,underweight,pescetarian,female,low,rarely,electricity,walk,electric,extra large,frequently,11.0,3.0,389.0,8.71,4492.0,5.55
5431,athletic,vegan,male,high,daily,electricity,walk,electric,extra large,frequently,0.0,7.0,89.0,3.75,739.0,1.87
5432,average,vegan,male,high,rarely,electricity,hybrid,hybrid,extra large,never,11.0,6.0,54.0,9.64,1500.0,8.3
5433,athletic,vegetarian,male,moderate,twice a day,gas,public,diesel,medium,rarely,19.0,7.0,489.0,3.76,442.0,3.62
5434,underweight,vegetarian,male,high,rarely,electricity,hybrid,electric,small,never,17.0,4.0,537.0,3.26,662.0,6.6
5435,average,vegetarian,male,low,rarely,gas,public,petrol,small,never,1.0,4.0,362.0,0.9,1998.0,4.0
5436,underweight,pescetarian,female,moderate,frequently,gas,private,hybrid,large,frequently,17.0,7.0,415.0,7.03,4305.0,7.29
5437,underweight,pescetarian,other,moderate,frequently,electricity,private,petrol,medium,rarely,9.0,5.0,306.0,6.39,1695.0,4.18
5438,athletic,pescetarian,male,low,twice a day,electricity,walk,diesel,extra large,never,9.0,7.0,237.0,7.95,2528.0,4.41
5439,average,vegan,male,high,frequently,electricity,private,hybrid,large,rarely,5.0,6.0,122.0,5.62,1346.0,5.32
5440,underweight,vegetarian,other,high,twice a day,gas,hybrid,diesel,extra large,never,1.0,6.0,280.0,2.47,4713.0,3.91
5441,average,omnivore,female,high,daily,wood,public,electric,extra large,frequently,15.0,4.0,83.0,1.24,723.0,2.53
5442,athletic,vegan,female,high,rarely,electricity,walk,hybrid,small,never,4.0,5.0,121.0,5.99,2943.0,4.93
5443,underweight,pescetarian,female,high,daily,wood,private,diesel,large,rarely,5.0,2.0,533.0,6.45,3315.0,6.97
5444,athletic,omnivore,other,moderate,daily,wood,walk,diesel,medium,frequently,0.0,2.0,405.0,11.19,4724.0,3.94
5445,average,omnivore,other,moderate,rarely,wood,walk,diesel,extra large,never,3.0,4.0,280.0,5.94,1297.0,8.29
5446,average,vegetarian,female,low,frequently,solar,public,petrol,small,rarely,16.0,5.0,530.0,11.19,2157.0,8.39
5447,athletic,omnivore,female,high,daily,wood,hybrid,hybrid,small,rarely,12.0,4.0,540.0,7.62,2718.0,2.88
5448,overweight,pescetarian,other,high,rarely,wood,hybrid,diesel,extra large,frequently,11.0,3.0,437.0,1.8,2058.0,3.43
5449,underweight,vegetarian,female,high,daily,gas,bike,hybrid,small,frequently,12.0,5.0,226.0,1.03,1357.0,1.02
5450,average,omnivore,male,low,daily,solar,hybrid,electric,small,never,18.0,1.0,60.0,11.54,1812.0,4.17
5451,average,vegetarian,other,high,rarely,gas,private,electric,extra large,frequently,15.0,3.0,267.0,2.45,972.0,9.22
5452,underweight,omnivore,female,moderate,frequently,gas,bike,diesel,medium,never,10.0,5.0,182.0,4.17,760.0,8.04
5453,athletic,vegan,male,high,twice a day,wood,bike,hybrid,extra large,rarely,17.0,4.0,207.0,0.42,4083.0,9.64
5454,athletic,vegan,other,low,rarely,gas,bike,diesel,large,frequently,17.0,6.0,521.0,3.3,3324.0,2.93
5455,athletic,pescetarian,other,moderate,twice a day,electricity,bike,diesel,extra large,rarely,0.0,4.0,193.0,11.48,522.0,6.15
5456,overweight,vegan,male,moderate,rarely,wood,hybrid,petrol,extra large,rarely,3.0,4.0,259.0,1.1,2695.0,4.28
5457,overweight,vegan,other,moderate,rarely,electricity,bike,hybrid,medium,never,8.0,5.0,381.0,10.78,1285.0,6.54
5458,average,vegan,female,high,twice a day,wood,private,petrol,extra large,frequently,2.0,4.0,139.0,0.79,2475.0,7.7
5459,athletic,omnivore,other,low,twice a day,wood,private,diesel,extra large,never,7.0,7.0,61.0,7.81,4209.0,1.85
5460,underweight,omnivore,female,low,frequently,wood,walk,petrol,small,frequently,8.0,7.0,75.0,5.94,4124.0,1.79
5461,average,vegetarian,male,high,rarely,solar,private,petrol,extra large,never,17.0,5.0,373.0,8.77,2196.0,1.98
5462,underweight,omnivore,male,low,rarely,wood,walk,petrol,medium,never,4.0,7.0,300.0,9.33,3514.0,3.53
5463,average,vegan,other,moderate,rarely,electricity,private,electric,small,never,4.0,5.0,291.0,8.13,3759.0,7.7
5464,overweight,omnivore,male,moderate,frequently,wood,bike,electric,extra large,rarely,4.0,4.0,588.0,2.36,671.0,6.75
5465,average,pescetarian,male,low,twice a day,wood,public,petrol,small,frequently,15.0,2.0,134.0,7.61,2491.0,3.7
5466,overweight,vegetarian,other,low,rarely,gas,bike,hybrid,large,rarely,4.0,2.0,225.0,7.42,2821.0,8.7
5467,average,vegetarian,female,high,twice a day,wood,hybrid,electric,extra large,rarely,4.0,7.0,342.0,10.21,861.0,7.56
5468,athletic,omnivore,other,high,frequently,wood,walk,petrol,extra large,never,11.0,3.0,94.0,1.37,2947.0,9.76
5469,underweight,vegan,other,high,daily,wood,public,diesel,small,never,6.0,5.0,439.0,7.24,3405.0,7.17
5470,athletic,vegetarian,female,high,twice a day,wood,private,electric,extra large,rarely,2.0,4.0,511.0,2.47,1562.0,7.45
5471,average,pescetarian,female,high,frequently,wood,bike,diesel,extra large,frequently,7.0,6.0,439.0,7.96,1408.0,8.41
5472,average,pescetarian,female,high,daily,wood,walk,petrol,medium,never,19.0,7.0,206.0,6.22,4094.0,9.33
5473,average,vegetarian,other,moderate,rarely,solar,walk,petrol,extra large,rarely,17.0,4.0,210.0,2.28,4833.0,3.5
5474,overweight,vegan,female,low,rarely,electricity,private,petrol,medium,frequently,4.0,4.0,578.0,1.48,4948.0,6.81
5475,underweight,vegan,male,high,twice a day,solar,walk,diesel,large,frequently,5.0,2.0,272.0,8.38,4025.0,4.71
5476,underweight,omnivore,female,moderate,daily,electricity,private,electric,large,rarely,5.0,1.0,173.0,9.82,3498.0,3.07
5477,average,omnivore,male,low,frequently,solar,private,petrol,small,rarely,5.0,6.0,199.0,4.44,971.0,2.73
5478,average,vegetarian,female,low,rarely,wood,bike,hybrid,small,frequently,10.0,5.0,479.0,7.47,3161.0,1.88
5479,overweight,omnivore,male,low,rarely,solar,walk,petrol,small,frequently,12.0,3.0,596.0,9.67,4703.0,8.64
5480,athletic,omnivore,male,high,daily,electricity,hybrid,electric,small,rarely,13.0,3.0,576.0,8.68,106.0,1.1
5481,athletic,omnivore,male,high,frequently,gas,hybrid,electric,extra large,rarely,16.0,7.0,437.0,8.75,2996.0,9.95
5482,underweight,pescetarian,male,high,rarely,gas,bike,hybrid,medium,frequently,0.0,3.0,318.0,6.69,1284.0,9.68
5483,overweight,omnivore,male,low,rarely,wood,bike,petrol,small,never,9.0,5.0,590.0,1.64,4217.0,5.78
5484,average,vegetarian,female,low,twice a day,wood,private,electric,large,frequently,1.0,5.0,355.0,11.36,3097.0,7.69
5485,underweight,vegan,other,moderate,frequently,electricity,hybrid,electric,extra large,frequently,12.0,3.0,65.0,3.68,3300.0,5.12
5486,overweight,omnivore,other,moderate,rarely,gas,walk,electric,medium,frequently,16.0,3.0,562.0,1.37,2188.0,2.98
5487,athletic,vegan,other,moderate,daily,wood,hybrid,diesel,medium,frequently,18.0,4.0,83.0,10.36,3712.0,7.65
5488,overweight,omnivore,other,moderate,rarely,solar,bike,electric,small,never,2.0,6.0,403.0,10.59,4030.0,5.04
5489,athletic,vegetarian,other,low,frequently,solar,bike,electric,small,rarely,3.0,1.0,513.0,10.51,1168.0,8.8
5490,overweight,pescetarian,male,high,twice a day,gas,private,diesel,medium,frequently,5.0,2.0,153.0,6.2,984.0,8.74
5491,underweight,vegetarian,female,high,rarely,electricity,walk,petrol,large,rarely,12.0,5.0,338.0,3.71,4630.0,9.62
5492,athletic,pescetarian,male,high,daily,wood,bike,hybrid,small,rarely,13.0,1.0,192.0,9.74,3137.0,7.29
5493,underweight,omnivore,female,high,rarely,wood,walk,diesel,medium,rarely,8.0,3.0,386.0,11.13,2938.0,5.43
5494,underweight,omnivore,female,moderate,daily,wood,hybrid,diesel,extra large,frequently,14.0,7.0,425.0,0.12,3634.0,6.05
5495,athletic,pescetarian,female,low,frequently,gas,private,diesel,medium,frequently,5.0,6.0,253.0,10.87,2207.0,4.23
5496,athletic,vegetarian,female,high,twice a day,solar,hybrid,electric,small,frequently,19.0,3.0,107.0,2.84,2444.0,6.93
5497,average,vegetarian,other,low,frequently,electricity,bike,petrol,extra large,never,10.0,3.0,88.0,9.54,3185.0,1.83
5498,average,pescetarian,female,moderate,rarely,gas,bike,petrol,large,rarely,6.0,3.0,562.0,9.72,2942.0,9.92
5499,average,omnivore,female,moderate,rarely,gas,walk,petrol,medium,never,17.0,4.0,382.0,6.74,1318.0,1.57
5500,underweight,pescetarian,other,high,twice a day,wood,bike,hybrid,medium,never,16.0,5.0,393.0,5.25,734.0,6.42
5501,underweight,omnivore,male,high,daily,solar,walk,petrol,medium,frequently,13.0,3.0,137.0,2.7,3693.0,3.62
5502,average,pescetarian,male,moderate,frequently,electricity,public,hybrid,extra large,rarely,7.0,3.0,382.0,2.88,482.0,8.4
5503,underweight,omnivore,male,moderate,daily,electricity,bike,electric,small,rarely,7.0,5.0,405.0,5.97,1566.0,6.67
5504,underweight,pescetarian,male,low,rarely,wood,hybrid,petrol,medium,frequently,6.0,2.0,513.0,1.71,2031.0,6.47
5505,athletic,vegan,female,moderate,daily,electricity,hybrid,hybrid,extra large,frequently,8.0,4.0,435.0,8.12,1908.0,7.74
5506,athletic,omnivore,other,low,frequently,solar,walk,electric,medium,never,11.0,4.0,414.0,0.38,140.0,2.06
5507,underweight,vegetarian,other,moderate,daily,wood,public,electric,small,frequently,2.0,7.0,296.0,0.32,1387.0,3.81
5508,average,pescetarian,male,low,rarely,wood,bike,hybrid,extra large,never,0.0,7.0,547.0,6.12,2518.0,5.55
5509,overweight,vegetarian,other,moderate,frequently,solar,private,electric,large,rarely,14.0,1.0,112.0,3.19,562.0,3.88
5510,average,pescetarian,female,moderate,daily,electricity,private,electric,medium,never,8.0,4.0,289.0,5.73,3561.0,1.99
5511,overweight,vegetarian,male,low,daily,solar,hybrid,petrol,small,frequently,16.0,7.0,130.0,6.69,1941.0,3.79
5512,average,vegetarian,female,low,frequently,electricity,bike,hybrid,large,rarely,11.0,7.0,116.0,3.74,3934.0,5.13
5513,athletic,pescetarian,female,high,rarely,electricity,private,electric,small,never,16.0,1.0,388.0,10.55,451.0,2.33
5514,underweight,pescetarian,female,high,frequently,electricity,walk,diesel,large,never,12.0,2.0,147.0,5.95,4179.0,6.96
5515,underweight,vegetarian,female,moderate,rarely,solar,bike,diesel,small,rarely,12.0,5.0,556.0,9.87,3726.0,1.65
5516,athletic,vegetarian,female,moderate,daily,solar,hybrid,electric,large,never,14.0,3.0,543.0,10.72,2270.0,9.02
5517,overweight,vegetarian,male,low,frequently,gas,public,petrol,extra large,never,17.0,6.0,520.0,10.67,439.0,4.27
5518,overweight,omnivore,female,moderate,rarely,solar,walk,diesel,large,never,14.0,1.0,316.0,0.79,653.0,4.23
5519,overweight,omnivore,male,high,frequently,wood,walk,petrol,small,frequently,17.0,7.0,416.0,0.54,1936.0,2.89
5520,athletic,vegan,other,low,daily,wood,bike,electric,medium,frequently,4.0,7.0,335.0,7.1,650.0,5.34
5521,overweight,omnivore,female,moderate,frequently,wood,public,hybrid,large,frequently,6.0,6.0,533.0,4.92,4261.0,8.49
5522,athletic,omnivore,female,low,daily,wood,walk,electric,small,never,5.0,6.0,321.0,9.26,1187.0,6.28
5523,average,pescetarian,other,high,daily,gas,public,electric,medium,rarely,4.0,4.0,209.0,11.44,4149.0,8.29
5524,average,vegan,male,high,daily,solar,hybrid,diesel,extra large,never,18.0,7.0,279.0,0.81,3337.0,9.72
5525,athletic,vegan,female,high,rarely,solar,walk,hybrid,extra large,never,8.0,6.0,547.0,7.57,3493.0,6.63
5526,underweight,omnivore,other,moderate,rarely,electricity,private,petrol,medium,frequently,10.0,3.0,255.0,7.25,4454.0,2.52
